Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00952304123999947,-0.0384999999881607,0.0139434635768425,0,0,0,0.267600954851823,9.27694548781876E-05,7.79226502929924E-14,-7.9280589797108E-16,3.60005884314317E-05,-3.30120540973489E-13,9.02125908580329E-05,0,0,0,0,0,0,package://PressTip2/meshes/base_link.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://PressTip2/meshes/base_link.STL,,Channel Bracket-4;Channel Bracket-5;Channel Bracket-1;Multi Purpose Bracket-5;Multi Purpose Bracket-6;Multi Purpose Bracket-7;Multi Purpose Bracket-8;Servomotor SG 5010-2/Tap 01-1;Servomotor SG 5010-3/Tap 02-1;Servomotor SG 5010-3/Tap 01-1;Servomotor SG 5010-2/Tap 02-1;Servomotor SG 5010-4/Tap 02-1;Servomotor SG 5010-4/Tap 01-1;Servomotor SG 5010-2/Tap 03-1;Servomotor SG 5010-4/Tap 03-1;Servomotor SG 5010-1/Tap 01-1;Servomotor SG 5010-1/Tap 02-1;Servomotor SG 5010-1/Tap 03-1;Servomotor SG 5010-3/Tap 03-1,Coordinate_System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1hip,-0.136502545920463,0.0339734375719654,0.0267811756418005,0,0,0,0.0670777549223611,2.33062831866396E-05,5.2298798470944E-07,1.98429301995519E-08,2.54118427747887E-05,6.28630114786444E-09,1.06832167784737E-05,0,0,0,0,0,0,package://PressTip2/meshes/leg1hip.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://PressTip2/meshes/leg1hip.STL,,Acople-2;Offset Bracket-4;Multi Purpose Bracket-10;Servomotor SG 5010-6/Tap 03-1;Servomotor SG 5010-6/Tap 01-1;Servomotor SG 5010-6/Tap 02-1,leg_1_hip_coordinate,leg_1_hip_axis,leg1hip,revolute,0.06197,-0.082557,0.0385,-3.1416,0,-0.10328,base_link,0,0,1,10,0,-3,3,,,,,,,,
leg1knee,-0.00674862816632921,0.215606129370829,-0.0510180443493649,0,0,0,0.0696914932488917,2.5355435148491E-05,-1.71044565602173E-06,1.50294909611846E-07,2.02881391296408E-05,5.12704470314629E-07,2.56517236643168E-05,0,0,0,0,0,0,package://PressTip2/meshes/leg1knee.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://PressTip2/meshes/leg1knee.STL,,Acople-7;U Long Bracket-3;Multi Purpose Bracket-16;Servomotor SG 5010-11/Tap 03-1;Servomotor SG 5010-11/Tap 02-1;Servomotor SG 5010-11/Tap 01-1,leg_1_knee_coordinate,leg_1_knee_axis,leg1knee,revolute,0.060665,0.04177,0.036307,3.1416,0,-1.5708,leg1hip,0,-1,0,10,0,-3,3,,,,,,,,
leg1foot,-0.10343485583487,0.211039793279907,0.000595693317105211,0,0,0,0.0169824099129693,1.05186475049124E-05,1.28624826936999E-06,4.3829551234744E-07,4.04936226867087E-06,1.66122879291606E-06,9.33010989610897E-06,0,0,0,0,0,0,package://PressTip2/meshes/leg1foot.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://PressTip2/meshes/leg1foot.STL,,U Bracket-2;holder-1;Acople-11,leg_1_ankle_coordinate,leg_1_ankle_axis,leg1foot,revolute,-0.064162,0.0005,0.0088672,3.1416,-1.021,-3.1416,leg1knee,0,-1,0,10,0,-3,3,,,,,,,,
tip1,-0.151403518274172,0.0931062279848143,-0.150343676045111,0,0,0,1.021543946138,0.00807147675069726,0.00140234335733649,-0.0003883781922212,0.00938164975987365,0.00294842510577905,0.00935002028348309,0,0,0,0,0,0,package://PressTip2/meshes/tip1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PressTip2/meshes/tip1.STL,,tip-3,tip1C,Axis_tip1,tip1,fixed,-0.000101024689847629,0.0270411985594858,0.0770319360063324,0.302196999514515,-1.04042812036827,0.879257977617477,leg1foot,0,0,0,,,,,,,,,,,,
leg2hip,-0.079093733292414,0.095421547920738,0.0267813099848397,0,0,0,0.0670777628949343,2.55221141942247E-05,-1.70836416372318E-07,-1.18624068043133E-08,2.31960211828011E-05,-1.71486776397205E-08,1.06832164468021E-05,0,0,0,0,0,0,package://PressTip2/meshes/leg2hip.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://PressTip2/meshes/leg2hip.STL,,Acople-3;Offset Bracket-5;Multi Purpose Bracket-9;Servomotor SG 5010-5/Tap 03-1;Servomotor SG 5010-5/Tap 01-1;Servomotor SG 5010-5/Tap 02-1,leg_2_hip_coordinate,leg_2_hip_axis,leg2hip,revolute,0.06177,0.0055571,0.0385,3.1416,0,0.85982,base_link,0,0,-1,10,0,-3,3,,,,,,,,
leg2knee,0.1825165643668,0.181462389357358,-0.0137522420267576,0,0,0,0.069691492685462,2.11899830949233E-05,2.57705989130958E-06,9.09472954820181E-08,2.42302946330039E-05,-2.74836642894841E-08,2.58750210300591E-05,0,0,0,0,0,0,package://PressTip2/meshes/leg2knee.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://PressTip2/meshes/leg2knee.STL,,U Long Bracket-4;Acople-6;Multi Purpose Bracket-13;Servomotor SG 5010-12/Tap 02-1;Servomotor SG 5010-12/Tap 01-1;Servomotor SG 5010-12/Tap 03-1,leg_2_knee_coordinate,leg_2_knee_axis,leg2knee,revolute,0.060665,-0.04197,0.036307,0,0,1.5708,leg2hip,0,-1,0,10,0,-3,3,,,,,,,,
leg2foot,0.176349741416627,0.207505657463135,0.120703214132473,0,0,0,0.0169824099129692,9.12188154013556E-06,2.38012835368654E-06,-2.39906888222016E-06,7.74527918711269E-06,1.97852558674322E-06,7.03095894244392E-06,0,0,0,0,0,0,package://PressTip2/meshes/leg2foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PressTip2/meshes/leg2foot.STL,,holder-3;U Bracket-4;Acople-12,leg_2_ankle_coordinate,leg_2_ankle_axis,leg2foot,revolute,-0.0090563,0.0005,0.064135,0,0.90437,0,leg2knee,0,-1,0,10,0,-3,3,,,,,,,,
tip2,0.0616299556996172,-0.0533389324482793,-0.0832958561214714,0,0,0,1.021543946138,0.00807147675069808,0.0014023433573373,-0.000388378192221142,0.00938164975987325,0.00294842510577955,0.00935002028348457,0,0,0,0,0,0,package://PressTip2/meshes/tip2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PressTip2/meshes/tip2.STL,,tip-4,tip2C,Axis_tip2,tip2,fixed,0.0207574252558445,0.0539472967723882,0.0585204619945834,0.108034782661089,-0.266022394014478,1.58812115881638,leg2foot,0,0,0,,,,,,,,,,,,
leg3hip,-0.102994173955558,0.0108235339254346,0.0277811755409549,0,0,0,0.067077752877843,2.50773829829837E-05,9.30525048173067E-07,1.74471145520508E-08,2.36407423953912E-05,-1.13498816191934E-08,1.06832159906881E-05,0,0,0,0,0,0,package://PressTip2/meshes/leg3hip.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://PressTip2/meshes/leg3hip.STL,,Acople-4;Offset Bracket-2;Multi Purpose Bracket-12;Servomotor SG 5010-8/Tap 02-1;Servomotor SG 5010-8/Tap 01-1;Servomotor SG 5010-8/Tap 03-1,leg_3_hip_coordinate,leg_3_hip_axis,leg3hip,revolute,-0.04277,0.0055571,0.0395,3.1416,0,-2.8611,base_link,0,0,1,10,0,-3,3,,,,,,,,
