Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.009523,-0.0385,0.013943,0,0,0,0.2676,9.2769E-05,7.7686E-14,-9.1962E-16,3.6001E-05,-1.1582E-13,9.0213E-05,0,0,0,0,0,0,package://Quadruped2/meshes/base_link.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://Quadruped2/meshes/base_link.STL,,Channel Bracket-1;Channel Bracket-4;Channel Bracket-5;Multi Purpose Bracket-7;Multi Purpose Bracket-8;Multi Purpose Bracket-5;Multi Purpose Bracket-6;Servomotor SG 5010-4/Tap 02-1;Servomotor SG 5010-3/Tap 02-1;Servomotor SG 5010-3/Tap 01-1;Servomotor SG 5010-3/Tap 03-1;Servomotor SG 5010-4/Tap 01-1;Servomotor SG 5010-4/Tap 03-1;Servomotor SG 5010-1/Tap 02-1;Servomotor SG 5010-2/Tap 01-1;Servomotor SG 5010-2/Tap 02-1;Servomotor SG 5010-2/Tap 03-1;Servomotor SG 5010-1/Tap 03-1;Servomotor SG 5010-1/Tap 01-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_1_hip,0.023894,0.031793,0.026781,0,0,0,0.067078,2.3794E-05,-1.0309E-06,-2.0852E-08,2.4924E-05,-5.2785E-11,1.0683E-05,0,0,0,0,0,0,package://Quadruped2/meshes/leg_1_hip.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_1_hip.STL,,Offset Bracket-5;Multi Purpose Bracket-9;Servomotor SG 5010-5/Tap 02-1;Servomotor SG 5010-5/Tap 03-1;Servomotor SG 5010-5/Tap 01-1;Acople-3,leg_1_hip_coordinate,leg_1_hip_axis,leg1_hip_joint,revolute,0.06197,-0.082557,0.0385,-3.1416,0,-0.11014,base_link,0,0,1,10,5,0,0,,,,,,,,
leg_1_knee,-0.0273933311353252,0.02353648171809,-0.0440595811465148,0,0,0,0.0696914929566026,2.58412910976454E-05,-2.36702000274295E-07,-8.45094993325509E-08,1.97651572022937E-05,-4.80970820284466E-07,2.56888495687292E-05,0,0,0,0,0,0,package://Quadruped2/meshes/leg_1_knee.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_1_knee.STL,,Acople-6;U Long Bracket-4;Multi Purpose Bracket-13;Servomotor SG 5010-12/Tap 03-1;Servomotor SG 5010-12/Tap 02-1;Servomotor SG 5010-12/Tap 01-1,leg_1_knee_coordinate,leg_1_knee_axis,leg_1_knee_joint,revolute,0.060665,0.04177,0.036307,3.1416,0,-1.5708,leg_1_hip,0,-1,0,10,5,0,0,,,,,,,,
leg_1_ankle,-1.60163549089987E-12,0.0280775387534298,0.0172277429080562,0,0,0,0.0169824099129692,1.11378366738052E-05,1.45583787809333E-20,-5.29395592033938E-22,3.39360074925845E-06,-4.2351647362715E-21,9.36668224662847E-06,0,0,0,0,0,0,package://Quadruped2/meshes/leg_1_ankle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_1_ankle.STL,,Acople-12;U Bracket-4,leg_1_ankle_coordinate,leg_1_ankle_axis,leg_1_ankle_joint,revolute,-0.026724,0.0005,-0.059001,3.1416,-1.0269,-3.1416,leg_1_knee,0,-1,0,10,5,0,0,,,,,,,,
leg_2_hip,0.0238940050801613,-0.0318845074147884,0.0267811755417208,0,0,0,0.067077752877841,2.37941890051847E-05,1.03091155379357E-06,-2.08139070141727E-08,2.4923936371607E-05,-5.3739338014653E-11,1.06832159906692E-05,0,0,0,0,0,0,package://Quadruped2/meshes/leg_2_hip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_2_hip.STL,,Offset Bracket-2;Multi Purpose Bracket-12;Servomotor SG 5010-8/Tap 02-1;Servomotor SG 5010-8/Tap 01-1;Servomotor SG 5010-8/Tap 03-1;Acople-4,leg_2_hip_coordinate,leg_2_hip_axis,leg_2_hip_joint,revolute,0.06177,0.0055571,0.0385,3.1416,0,0.85297,base_link,0,0,-1,10,5,0,0,,,,,,,,
leg_2_knee,-0.0172246793374685,0.0235364817631275,0.048938244205578,0,0,0,0.0696914931210686,2.58698343502602E-05,-1.27170098298992E-07,4.44517656768534E-08,1.97651570902313E-05,5.20757544364336E-07,2.56603061766923E-05,0,0,0,0,0,0,package://Quadruped2/meshes/leg_2_knee.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_2_knee.STL,,U Long Bracket-5;Acople-5;Servomotor SG 5010-10/Tap 02-1;Multi Purpose Bracket-14;Servomotor SG 5010-10/Tap 01-1;Servomotor SG 5010-10/Tap 03-1,leg_2_knee_coordinate,leg_2_knee_axis,leg_2_knee_joint,revolute,0.060665,-0.04197,0.036307,0,0,1.5708,leg_2_hip,0,-1,0,10,5,0,0,,,,,,,,
leg_2_ankle,2.41015540858314E-13,0.0280775387539016,0.0172277429093309,0,0,0,0.0169824099129692,1.11378366738052E-05,1.9124415762226E-21,1.24407964127975E-21,3.39360074925847E-06,-1.05879118406788E-22,9.36668224662841E-06,0,0,0,0,0,0,package://Quadruped2/meshes/leg_2_ankle.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_2_ankle.STL,,U Bracket-5;Acople-10,leg_2_ankle_coordinate,leg_2_ankle_axis,leg_2_ankle_joint,revolute,-0.013342,0.0005,0.063382,0,1.0652,0,leg_2_knee,0,-1,0,10,5,0,0,,,,,,,,
leg_3_hip,0.0241828883812016,0.0321769652231079,0.0275025641969806,0,0,0,0.066276459588986,2.37727609910915E-05,-1.03091184500867E-06,-2.08521162712471E-08,2.49025086234508E-05,-5.32765752149683E-11,1.06429144479617E-05,0,0,0,0,0,0,package://Quadruped2/meshes/leg_3_hip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_3_hip.STL,,Offset Bracket-3;Multi Purpose Bracket-11;Servomotor SG 5010-7/Tap 02-1;Servomotor SG 5010-7/Tap 01-1;Servomotor SG 5010-7/Tap 03-1,leg_3_hip_coordinate,leg_3_hip_axis,leg_3_hip_joint,revolute,-0.04277,0.0055571,0.0395,3.1416,0,2.8191,base_link,0,0,1,10,5,0,0,,,,,,,,
leg_3_knee,0.022535757370651,0.0235364817720182,0.046730941844128,0,0,0,0.0696914931416134,2.58574870955368E-05,1.84030693395254E-07,-6.64123894891356E-08,1.97651574003442E-05,5.03481344224449E-07,2.56726538455517E-05,0,0,0,0,0,0,package://Quadruped2/meshes/leg_3_knee.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_3_knee.STL,,Acople-8;U Long Bracket-2;Multi Purpose Bracket-15;Servomotor SG 5010-9/Tap 02-1;Servomotor SG 5010-9/Tap 01-1;Servomotor SG 5010-9/Tap 03-1,leg_3_knee_coordinate,leg_3_knee_axis,leg_3_knee_joint,revolute,0.060665,0.04177,0.037307,0,0,1.5708,leg_3_hip,0,1,0,10,5,0,0,,,,,,,,
leg_3_ankle,-3.77475828372553E-13,-0.0280775387538629,-0.0172277429088288,0,0,0,0.0169824099129692,1.11378366738052E-05,-1.32613595804501E-20,3.91752738105114E-21,3.39360074925847E-06,-1.09055491958991E-20,9.36668224662844E-06,0,0,0,0,0,0,package://Quadruped2/meshes/leg_3_ankle.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped2/meshes/leg_3_ankle.STL,,U Bracket-3;Acople-9,leg_3_ankle_coordinate,leg_3_ankle_axis,leg_3_ankle,revolute,0.020276,0.0005,0.061516,-3.1416,-0.27473,0,leg_3_knee,0,-1,0,10,5,0,0,,,,,,,,
